11:39:04 :Epoch 239/4000, Loss: 0.3305, Accuracy: 0.8000 
11:39:04 :Epoch 240/4000, Loss: 0.3278, Accuracy: 0.8000 
11:39:04 :Epoch 241/4000, Loss: 0.3258, Accuracy: 0.8000 
11:39:04 :Epoch 242/4000, Loss: 0.3230, Accuracy: 0.8000 
11:39:04 :Epoch 243/4000, Loss: 0.3211, Accuracy: 0.8000 
11:39:04 :Epoch 244/4000, Loss: 0.3180, Accuracy: 0.8000 
11:39:04 :Epoch 245/4000, Loss: 0.3163, Accuracy: 0.8000 
11:39:04 :Epoch 246/4000, Loss: 0.3131, Accuracy: 0.8000 
11:39:04 :Epoch 247/4000, Loss: 0.3105, Accuracy: 0.8000 
11:39:04 :Epoch 248/4000, Loss: 0.3084, Accuracy: 0.8000 
11:39:04 :Epoch 249/4000, Loss: 0.3067, Accuracy: 0.8000 
11:39:04 :Epoch 250/4000, Loss: 0.3036, Accuracy: 0.8000 
11:39:04 :Epoch 251/4000, Loss: 0.3007, Accuracy: 0.8000 
11:39:04 :Epoch 252/4000, Loss: 0.2983, Accuracy: 0.8000 
11:39:04 :Epoch 253/4000, Loss: 0.2959, Accuracy: 0.8000 
11:39:04 :Epoch 254/4000, Loss: 0.2939, Accuracy: 0.8000 
11:39:04 :Epoch 255/4000, Loss: 0.2911, Accuracy: 0.8000 
11:39:04 :Epoch 256/4000, Loss: 0.2891, Accuracy: 0.8000 
11:39:04 :Epoch 257/4000, Loss: 0.2860, Accuracy: 0.8000 
11:39:04 :Epoch 258/4000, Loss: 0.2830, Accuracy: 0.8000 
11:39:04 :Epoch 259/4000, Loss: 0.2812, Accuracy: 0.8000 
11:39:04 :Epoch 260/4000, Loss: 0.2777, Accuracy: 0.8000 
11:39:04 :Epoch 261/4000, Loss: 0.2756, Accuracy: 0.8000 
11:39:04 :Epoch 262/4000, Loss: 0.2735, Accuracy: 0.8000 
11:39:04 :Epoch 263/4000, Loss: 0.2703, Accuracy: 0.8000 
11:39:04 :Epoch 264/4000, Loss: 0.2684, Accuracy: 0.8000 
11:39:04 :Epoch 265/4000, Loss: 0.2652, Accuracy: 0.8000 
11:39:04 :Epoch 266/4000, Loss: 0.2624, Accuracy: 0.8000 
11:39:04 :Epoch 267/4000, Loss: 0.2599, Accuracy: 0.8000 
11:39:04 :Epoch 268/4000, Loss: 0.2578, Accuracy: 0.8000 
11:39:04 :Epoch 269/4000, Loss: 0.2549, Accuracy: 0.8000 
11:39:04 :Epoch 270/4000, Loss: 0.2522, Accuracy: 0.8000 
11:39:04 :Epoch 271/4000, Loss: 0.2496, Accuracy: 0.8000 
11:39:04 :Epoch 272/4000, Loss: 0.2470, Accuracy: 0.8000 
11:39:04 :Epoch 273/4000, Loss: 0.2449, Accuracy: 0.8000 
11:39:04 :Epoch 274/4000, Loss: 0.2417, Accuracy: 0.8000 
11:39:04 :Epoch 275/4000, Loss: 0.2391, Accuracy: 0.8000 
11:39:04 :Epoch 276/4000, Loss: 0.2371, Accuracy: 0.9333 
11:39:04 :Epoch 277/4000, Loss: 0.2342, Accuracy: 0.9333 
11:39:04 :Epoch 278/4000, Loss: 0.2318, Accuracy: 1.0000 
11:39:04 :Epoch 279/4000, Loss: 0.2291, Accuracy: 1.0000 
11:39:04 :Epoch 280/4000, Loss: 0.2267, Accuracy: 1.0000 
11:39:04 :Epoch 281/4000, Loss: 0.2245, Accuracy: 1.0000 
11:39:04 :Epoch 282/4000, Loss: 0.2211, Accuracy: 1.0000 
11:39:04 :Epoch 283/4000, Loss: 0.2198, Accuracy: 1.0000 
11:39:04 :Epoch 284/4000, Loss: 0.2165, Accuracy: 1.0000 
11:39:04 :Epoch 285/4000, Loss: 0.2140, Accuracy: 1.0000 
11:39:04 :Epoch 286/4000, Loss: 0.2119, Accuracy: 1.0000 
11:39:04 :Epoch 287/4000, Loss: 0.2095, Accuracy: 1.0000 
11:39:04 :Epoch 288/4000, Loss: 0.2076, Accuracy: 1.0000 
11:39:04 :Epoch 289/4000, Loss: 0.2045, Accuracy: 1.0000 
11:39:04 :Epoch 290/4000, Loss: 0.2019, Accuracy: 1.0000 
11:39:04 :Epoch 291/4000, Loss: 0.1995, Accuracy: 1.0000 
11:39:04 :Epoch 292/4000, Loss: 0.1979, Accuracy: 1.0000 
11:39:04 :Epoch 293/4000, Loss: 0.1951, Accuracy: 1.0000 
11:39:04 :Epoch 294/4000, Loss: 0.1930, Accuracy: 1.0000 
11:39:04 :Epoch 295/4000, Loss: 0.1904, Accuracy: 1.0000 
11:39:04 :Epoch 296/4000, Loss: 0.1890, Accuracy: 1.0000 
11:39:04 :Epoch 297/4000, Loss: 0.1856, Accuracy: 1.0000 
11:39:04 :Epoch 298/4000, Loss: 0.1839, Accuracy: 1.0000 
11:39:04 :Epoch 299/4000, Loss: 0.1834, Accuracy: 1.0000 
11:39:04 :Epoch 300/4000, Loss: 0.1797, Accuracy: 1.0000 
11:39:04 :Epoch 301/4000, Loss: 0.1786, Accuracy: 1.0000 
11:39:04 :Epoch 302/4000, Loss: 0.1755, Accuracy: 1.0000 
11:39:04 :Epoch 303/4000, Loss: 0.1733, Accuracy: 1.0000 
11:39:04 :Epoch 304/4000, Loss: 0.1714, Accuracy: 1.0000 
11:39:04 :Epoch 305/4000, Loss: 0.1704, Accuracy: 1.0000 
11:39:04 :Epoch 306/4000, Loss: 0.1673, Accuracy: 1.0000 
11:39:04 :Epoch 307/4000, Loss: 0.1658, Accuracy: 1.0000 
11:39:04 :Epoch 308/4000, Loss: 0.1635, Accuracy: 1.0000 
11:39:04 :Epoch 309/4000, Loss: 0.1617, Accuracy: 1.0000 
11:39:04 :Epoch 310/4000, Loss: 0.1595, Accuracy: 1.0000 
11:39:04 :Epoch 311/4000, Loss: 0.1580, Accuracy: 1.0000 
11:39:04 :Epoch 312/4000, Loss: 0.1562, Accuracy: 1.0000 
11:39:04 :Epoch 313/4000, Loss: 0.1536, Accuracy: 1.0000 
11:39:04 :Epoch 314/4000, Loss: 0.1524, Accuracy: 1.0000 
11:39:04 :Epoch 315/4000, Loss: 0.1501, Accuracy: 1.0000 
11:39:04 :Epoch 316/4000, Loss: 0.1480, Accuracy: 1.0000 
11:39:04 :Epoch 317/4000, Loss: 0.1475, Accuracy: 1.0000 
11:39:04 :Epoch 318/4000, Loss: 0.1453, Accuracy: 1.0000 
11:39:04 :Epoch 319/4000, Loss: 0.1429, Accuracy: 1.0000 
11:39:04 :Epoch 320/4000, Loss: 0.1412, Accuracy: 1.0000 
11:39:04 :Epoch 321/4000, Loss: 0.1397, Accuracy: 1.0000 
11:39:04 :Epoch 322/4000, Loss: 0.1376, Accuracy: 1.0000 
11:39:04 :Epoch 323/4000, Loss: 0.1368, Accuracy: 1.0000 
11:39:04 :Epoch 324/4000, Loss: 0.1346, Accuracy: 1.0000 
